# Ideographic Description Sequences (IDS) for BabelStone Han PUA
# URL: https://babelstone.co.uk/CJK/IDS_PUA.TXT
# Font: https://www.babelstone.co.uk/Fonts/PUA.html
# Version 1.292 (2021-03-16)
#
U+E2C8		^⿰土邑$
U+E2C9		^⿰土囤$
U+E2CA		^⿰土岜$
U+E2CB		^⿰土囦$
U+E2CD		^⿺廴⿱山正$
U+E2CE		^⿰土岛$
U+E2CF		^⿰土库$
U+E2D0		^⿰土这$
U+E2D1		^⿰土㐬$
U+E2D2		^⿱冻土$
U+E2D3		^⿰土⿱㓁土$
U+E2D4		^⿰土𡛒$
U+E2D5		^⿱邽土$
U+E2D6		^⿱垅土$
U+E2D7		^⿰土苟$
U+E2D8		^⿰土斩$
U+E2D9		^⿰土黾$
U+E2DA		^⿰土𡇈$
U+E2DB		^⿰土岩$
U+E2DC		^⿰土⿱山瓜$
U+E2DD		^⿱和土$
U+E2DE		^⿰土贪$
U+E2DF		^⿰土劵$
U+E2E0		^⿰土贯$
U+E2E1		^⿰土贲$
U+E2E2		^⿰土歪$
U+E2E3		^⿰土查$
U+E2E5		^⿳亠二几$
U+E2E6		^⿰土贱$
U+E2E7		^⿰土班$
U+E2E8		^⿱埔土$
U+E2E9		^⿰土都$
U+E2EA		^⿱都土$
U+E2EB		^⿰土晋$
U+E2EC		^⿰土索$
U+E2ED		^⿰土𧆠$
U+E2EE		^⿰土圂$
U+E2EF		^⿰土⿱𥫗历$
U+E2F0		^⿰土羞$
U+E2F1		^⿰土𤲅$
U+E2F2		^⿰土雩$
U+E2F3		^⿰土匾$
U+E2F4		^⿰土⿱罒缶$
U+E2F5		^⿰土旋$
U+E2F6		^⿰土望$
U+E2F7		^⿱深土$
U+E2F8		^⿰土散$
U+E2F9		^⿰土⿱刚缶$
U+E2FA		^⿰土畲$
U+E2FB		^⿰土鲁$
U+E2FC		^⿰土蛮$
U+E2FD		^⿰土⿳⿱亠口冖㠯$
U+E2FE		^⿱冖八$
U+E2FF		^⿰土䆣$
U+E300		^⿰土献$
U+E301		^⿰土赖$
U+E302		^⿰土寨$
U+E303		^⿰土𦉍$
U+E304		^⿰土赞$
U+E305		^⿰土⿱𫁒寸$
U+E306		^⿰亻万$
U+E307		^⿰土长$
U+E308		^⿰土肅$
U+E309		^⿰女夹$
U+E30A		^⿰女连$
U+E30B		^⿰女乐$
U+E30C		^⿱山军$
U+E30D		^⿰山单$
U+E30E		^⿰忄乐$
U+E30F		^⿰日义$
U+E310		^⿰讠㿽$
U+E311		^⿰木贱$
U+E312		^⿰𤣩义$
U+E313		^⿱𥫗鸟$
U+E314		^⿱艹义$
U+E315		^⿰讠奇$
U+E316		^⿰车几$
U+E317		^⿰钅希$
U+E318		^⿰钅莽$
U+E319		^⿰钅基$
U+E31A		^⿰钅㬎$
U+E31B		^⿵门吉$
U+E31C		^⿵门咅$
U+E31D		^⿰革见$
U+E31E		^⿰饣豈$
U+E31F		^⿰岺鸟$
U+E320		^⿰崔鸟$
U+E321		^⿰亻儿$
U+E322		^⿰亻历$
U+E323		^⿱冯几$
U+E324		^⿰口韦$
U+E325		^⿰土贵$
U+E326		^⿰女𫔮$
U+E327		^⿰女义$
U+E328		^⿰女尽$
U+E329		^⿰女兰$
U+E32A		^⿰忄见$
U+E32B		^⿱动心$
U+E32C		^⿰昔頁$
U+E32D		^⿰日页$
U+E32E		^⿰木庆$
U+E32F		^⿰氵华$
U+E330		^⿰氵宪$
U+E331		^⿰火风$
U+E332		^⿰火习$
